Estação;N__Lab_;X;Y;Folha;Ag (ppm);Al (%);As (ppm);Ba (ppm);Be (ppm);Bi (ppm);Ca (%);Cd (ppm);Ce (ppm);Co (ppm);Cr (ppm);Cs (ppm);Cu (ppm);Fe (%);Ga (ppm);Hf (ppm);Hg (ppm);In (ppm);K (%);La (ppm);Li (ppm);LREE (ppm);Mg (%);Mn (ppm);Mo (ppm);Nb (ppm);Ni (ppm);P (ppm);Pb (ppm);Rb (ppm);Sb (ppm);Sc (ppm);Sn (ppm);Sr (ppm);Th (ppm);Ti (%);U (ppm);V (ppm);W (ppm);Y (ppm);Zn (ppm);Zr (ppm)
BM0053;CDP 497;238116;7950915;Monte Carmelo;0.01;1.16;3.0;94.0;2.1;0.15;0.04;0.13;169.71;7.3;33;4.45;13.3;2.36;7.2;0.05;0.01;0.03;0.36;81.5;8.0;251.21;0.15;199;0.46;1.14;15.3;71.0;36.0;62.9;0.45;5.3;2.4;9.0;24.3;0.04;2.28;31;0.1;11.74;28;5.6
BM0054;CDP 498;241427;7948629;Monte Carmelo;0.01;1.23;4.0;86.0;1.8;0.1;0.07;0.02;151.37;3.8;14;2.87;10.1;1.9;6.7;0.05;0.01;0.02;0.24;78.9;8.0;230.27;0.1;165;0.39;1.1;6.6;172.0;22.3;41.0;0.58;3.9;2.3;12.1;23.4;0.02;2.64;19;0.1;8.24;25;4.1
ED0001;CDP 525;264540;7929243;Monte Carmelo;0.01;0.75;5.0;60.0;1.7;0.49;0.05;0.02;47.18;7.9;19;2.44;5.8;2.7;4.9;0.05;0.03;0.03;0.08;20.3;3.0;67.48;0.05;403;0.45;10.32;5.5;197.0;9.4;13.6;0.18;7.1;1.9;0.7;5.7;0.03;1.17;35;0.3;11.6;10;3.7
ED0002;CDP 526;269916;7935396;Monte Carmelo;0.01;1.32;4.0;76.0;0.9;0.14;0.04;0.07;48.98;12.5;72;1.13;15.3;3.55;6.6;0.05;0.03;0.04;0.08;16.2;4.0;65.18;0.04;489;0.85;1.11;13.9;412.0;9.5;7.2;0.34;7.1;1.0;5.6;5.0;0.02;0.75;56;0.1;5.49;22;9.7
ED0003;CDP 527;270336;7935941;Monte Carmelo;0.01;1.04;7.0;116.0;1.1;0.19;0.05;0.06;63.12;14.1;107;0.9;25.7;4.64;7.1;0.05;0.03;0.05;0.17;22.8;5.0;85.92;0.08;557;0.96;1.31;21.7;510.0;16.7;10.8;0.34;11.8;1.1;9.6;7.6;0.03;1.19;97;0.1;8.81;32;22.8
ED0004;CDP 528;272959;7933215;Monte Carmelo;0.01;1.33;2.0;45.0;0.7;0.11;0.02;0.04;37.93;6.6;44;1.22;10.5;2.53;6.0;0.05;0.02;0.03;0.05;13.2;3.0;51.13;0.02;213;0.59;0.79;9.8;333.0;7.9;6.0;0.17;5.2;1.0;0.9;4.5;0.01;0.56;46;0.1;4.48;14;9.2
ED0005;CDP 529;281769;7948360;Monte Carmelo;0.01;0.52;4.0;60.0;0.6;0.16;0.01;0.02;44.62;5.7;26;0.55;10.6;3.14;3.3;0.05;0.02;0.02;0.09;17.9;2.0;62.52;0.03;291;0.81;0.41;10.7;238.0;11.6;6.8;0.28;3.0;0.3;0.5;4.7;0.01;0.65;24;0.4;2.79;12;4.5
ED0006;CDP 530;283175;7949965;Monte Carmelo;0.01;0.94;6.0;76.0;0.9;0.2;0.04;0.04;63.8;15.4;72;0.75;16.7;4.22;6.0;0.05;0.02;0.03;0.09;25.2;3.0;89.0;0.04;539;0.83;2.06;20.8;267.0;14.8;6.7;0.47;5.6;0.6;1.3;6.1;0.01;0.83;54;0.3;3.77;27;11.1
ED0007;CDP 531;283345;7951078;Monte Carmelo;0.01;0.95;4.0;69.0;0.7;0.13;0.07;0.04;28.53;10.6;29;0.78;8.2;2.79;4.3;0.05;0.04;0.02;0.06;8.9;2.0;37.43;0.03;566;0.67;0.62;14.9;316.0;7.7;6.9;0.25;4.6;0.6;1.5;3.2;0.01;0.44;32;0.1;3.4;14;6.7
ED0008;CDP 532;288355;7951747;Monte Carmelo;0.01;0.9;3.0;94.0;1.1;0.23;0.12;0.07;68.14;21.0;35;0.8;18.7;4.42;5.0;0.05;0.02;0.02;0.2;29.7;10.0;97.84;0.15;426;0.57;0.6;26.3;888.0;20.5;10.4;0.45;3.2;0.3;9.5;5.4;0.01;0.62;35;0.1;6.35;50;5.1
ED0009;CDP 533;286312;7948516;Monte Carmelo;0.01;0.96;10.0;182.0;2.4;0.75;0.12;0.08;81.71;32.8;73;0.97;38.2;7.4;8.4;0.05;0.03;0.06;0.13;36.7;6.0;118.41;0.07;917;1.33;1.11;35.4;1240.0;22.4;9.1;1.18;11.8;0.8;11.4;7.4;0.01;1.69;79;0.1;6.54;60;11.1
ED0010A;CDP 534;286926;7946111;Monte Carmelo;0.01;1.15;5.0;64.0;0.9;0.24;0.03;0.04;77.19;11.5;61;0.96;20.1;4.16;7.3;0.05;0.03;0.04;0.09;32.7;3.0;109.89;0.05;241;0.76;0.81;20.9;316.0;16.3;7.7;0.52;5.9;0.8;1.4;7.4;0.01;0.84;56;0.3;4.4;31;12.4
ED0011;CDP 535;238920;7928652;Monte Carmelo;0.01;5.78;2.0;104.0;4.5;0.71;0.1;0.05;94.49;18.1;89;3.26;22.5;6.1;23.7;0.05;0.08;0.1;0.04;40.9;10.0;135.39;0.03;286;1.11;1.56;21.9;514.0;20.4;5.4;0.46;20.6;5.4;8.0;9.5;0.06;2.45;127;0.4;12.51;30;1.9
ED0012;CDP 536;287415;7946761;Monte Carmelo;0.01;1.16;5.0;168.0;1.5;0.36;0.08;0.09;111.57;25.9;54;1.01;26.0;5.25;8.5;0.05;0.06;0.04;0.21;55.4;11.0;166.97;0.14;627;0.88;0.92;34.2;406.0;26.1;14.4;0.94;6.1;0.8;4.3;8.7;0.01;0.91;57;0.3;8.14;44;9.8
ED0013;CDP 537;287002;7943259;Monte Carmelo;0.01;1.59;7.0;67.0;1.0;0.3;0.01;0.14;86.58;12.4;51;1.13;21.7;4.91;8.8;0.05;0.03;0.05;0.11;35.8;4.0;122.38;0.04;204;1.04;0.86;18.6;332.0;18.9;8.8;0.59;6.9;1.2;0.9;9.2;0.01;0.93;61;0.8;4.49;33;11.2
ED0014;CDP 538;288459;7938243;Monte Carmelo;0.01;0.89;9.0;104.0;1.1;0.34;0.03;0.08;131.47;24.1;79;1.19;28.0;6.7;6.6;0.07;0.03;0.04;0.17;36.2;6.0;167.67;0.08;674;1.29;1.36;39.8;323.0;25.9;10.3;1.01;5.4;0.9;6.7;10.1;0.02;0.99;65;0.8;4.63;44;18.5
ED0015;CDP 539;286864;7932860;Monte Carmelo;0.01;1.68;4.0;178.0;2.3;0.23;0.03;0.04;106.19;14.3;82;1.26;23.4;4.94;10.6;0.05;0.03;0.04;0.16;43.0;8.0;149.19;0.13;450;0.83;1.53;46.8;582.0;20.1;14.9;0.82;9.1;1.2;9.4;8.6;0.03;1.33;127;0.3;7.48;35;17.7
ED0016;CDP 540;285481;7928922;Monte Carmelo;0.01;1.09;6.0;68.0;1.6;0.25;0.04;0.09;71.85;23.2;28;1.26;23.0;4.86;7.1;0.05;0.02;0.03;0.16;30.3;5.0;102.15;0.09;1029;1.05;0.28;25.2;509.0;16.3;11.9;0.77;5.0;1.0;2.7;7.4;0.01;0.85;44;0.2;3.84;87;4.8
ED0017;CDP 541;285100;7929200;Monte Carmelo;0.01;1.28;3.0;55.0;1.4;0.24;0.06;0.07;83.6;18.3;29;1.13;23.9;4.37;8.8;0.05;0.02;0.03;0.15;34.3;7.0;117.9;0.1;819;0.61;0.2;21.3;491.0;22.6;11.7;0.77;5.9;0.6;2.7;8.3;0.01;0.82;49;0.2;4.95;47;7.8
ED0018;CDP 542;283603;7928074;Monte Carmelo;0.01;1.14;5.0;92.0;1.1;0.22;0.05;0.08;70.04;26.6;31;1.03;21.4;4.09;6.4;0.05;0.02;0.02;0.14;26.3;5.0;96.34;0.06;1497;0.84;0.14;26.5;402.0;24.6;9.5;0.46;4.4;0.5;2.9;5.8;0.01;0.78;43;0.1;4.44;47;2.3
ED0019;CDP 543;284127;7927851;Monte Carmelo;0.01;1.21;3.0;68.0;1.5;0.23;0.05;0.06;76.1;17.1;22;1.79;20.2;3.34;7.1;0.05;0.02;0.03;0.11;33.3;6.0;109.4;0.06;688;0.59;0.18;17.8;346.0;18.8;11.5;0.42;5.6;0.6;1.7;6.8;0.01;0.88;36;0.1;5.92;40;3.8
ED0020A;CDP 544;279782;7935377;Monte Carmelo;0.01;0.76;4.0;42.0;0.6;0.16;0.01;0.04;51.26;6.6;49;0.73;13.8;3.34;5.3;0.05;0.05;0.03;0.06;20.0;2.0;71.26;0.04;150;0.6;0.87;13.4;273.0;11.2;5.8;0.32;4.4;0.6;0.5;4.8;0.01;0.66;46;0.2;3.6;24;10.5
ED0021;CDP 545;277673;7932299;Monte Carmelo;0.01;2.19;2.0;41.0;0.5;0.14;0.02;0.03;57.12;6.0;52;1.68;11.6;3.11;8.3;0.05;0.02;0.04;0.06;13.0;3.0;70.12;0.03;229;0.9;0.94;11.3;252.0;7.7;7.2;0.29;6.1;1.4;0.9;6.3;0.02;0.58;68;0.3;3.05;16;16.5
ED0022;CDP 546;280395;7927325;Monte Carmelo;0.01;3.27;4.0;67.0;1.5;0.31;0.05;0.04;87.41;14.1;42;2.9;35.9;4.34;14.9;0.05;0.03;0.06;0.16;32.0;7.0;119.41;0.11;541;0.72;0.6;26.1;302.0;19.2;17.3;0.8;10.3;2.0;2.9;9.8;0.01;1.22;72;0.1;5.45;54;8.0
